PDM TABLE NAME,PDM COLUMN NAME,PDM COLUMN DATA TYPE,'IS PK (Yes/No)',Is NULLABLE (Yes/No),SOURCE SYSTEM NAME,SOURCE TABLE NAME,SOURCE COLUMN NAME,SOURCE DATA TYPE
HIER_TYP,Proc_Id,INTEGER,NO,Yes,GCFR,BMAP_Standard_Map,Process_ID,INTEGER
HIER_TYP,Updt_Proc_Nm,CHAR(30),NO,Yes,GCFR,BMAP_Standard_Map,Update_Process_Name,CHAR(30)
HIER_TYP,Updt_Proc_Id,INTEGER,NO,Yes,GCFR,BMAP_Standard_Map,Update_Process_Id,INTEGER
MKT_SEG_HIER,Mkt_Seg_Parent_Id,INTEGER,YES,No,NAC,NAC,RAECD,CHAR(3)
MKT_SEG_HIER,Mkt_Seg_Id,INTEGER,YES,No,NAC,NAC,NACECD,CHAR(7)
MKT_SEG_HIER,Hier_Typ_Cd,VARCHAR(10),YES,No,GCFR,Hardcoded,Hardcoded,VARCHAR(10)
MKT_SEG_HIER,Hier_End_Dt,DATE,YES,No,GCFR,GCFR_Load,End_Ts,TIMESTAMP
MKT_SEG_HIER,Hier_Strt_Dt,DATE,NO,Yes,GCFR,GCFR_Load,Start_Ts,TIMESTAMP
MKT_SEG_HIER,Ctrl_Id,SMALLINT,NO,Yes,GCFR,GCFR_Load,Ctl_Id,SMALLINT
MKT_SEG_HIER,Proc_Nm,CHAR(30),NO,Yes,GCFR,GCFR_Load,Process_Name,CHAR(30)
MKT_SEG_HIER,Proc_Id,INTEGER,NO,Yes,GCFR,GCFR_Process_ID,Process_ID,INTEGER
MKT_SEG_HIER,Updt_Proc_Nm,CHAR(30),NO,Yes,GCFR,GCFR_Load,Update_Process_Name,CHAR(30)
MKT_SEG_HIER,Updt_Proc_Id,INTEGER,NO,Yes,GCFR,GCFR_Process_ID,Update_Process_Id,INTEGER
MKT_SEGMENT,Mkt_Seg_Id,INTEGER,YES,No,NAC,NAC,'RAECD, NACECD','CHAR(3), CHAR(7)'
MKT_SEGMENT,Mkt_Seg_Typ,CHAR(4),NO,Yes,GCFR,,Derived,Derived
MKT_SEGMENT,Mkt_Seg_Desc,VARCHAR(100),NO,Yes,NAC,NAC,'RAEDESC, NACEDESC',STRING(100)
MKT_SEGMENT,Seg_End_Dt,DATE,NO,Yes,GCFR,GCFR_Load,End_Ts,TIMESTAMP
MKT_SEGMENT,Seg_Start_Dt,DATE,NO,Yes,GCFR,GCFR_Load,Start_Ts,TIMESTAMP
MKT_SEGMENT,Src_Cd,CHAR(3),NO,Yes,GCFR,,Ctl_Id,SMALLINT
MKT_SEGMENT,Ctrl_Id,SMALLINT,NO,Yes,GCFR,GCFR_Load,Ctl_Id,SMALLINT
MKT_SEGMENT,Proc_Nm,CHAR(30),NO,Yes,GCFR,GCFR_Load,Process_Name,CHAR(30)
MKT_SEGMENT,Proc_Id,INTEGER,NO,Yes,GCFR,GCFR_Process_ID,Process_ID,INTEGER
MKT_SEGMENT,Updt_Proc_Nm,CHAR(30),NO,Yes,GCFR,GCFR_Load,Update_Process_Name,CHAR(30)
MKT_SEGMENT,Updt_Proc_Id,INTEGER,NO,Yes,GCFR,GCFR_Process_ID,Update_Process_Id,INTEGER
CUST_SEGMENT,Mkt_Seg_Id,CHAR(18),YES,No,CD,CD,'CUSTRAENUM, NACEBRAN','STRING(5), STRING(10)'
CUST_SEGMENT,Cust_Sk,INTEGER,YES,No,GCFR,,Derived,Derived
CUST_SEGMENT,Rel_End_Dt,DATE,YES,No,GCFR,GCFR_Load,End_Ts,TIMESTAMP
CUST_SEGMENT,Rel_Strt_Dt,DATE,NO,Yes,GCFR,GCFR_Load,Start_Ts,TIMESTAMP
CUST_SEGMENT,Ctrl_Id,SMALLINT,NO,Yes,GCFR,GCFR_Load,Ctl_Id,SMALLINT
CUST_SEGMENT,Proc_Nm,CHAR(30),NO,Yes,GCFR,GCFR_Load,Process_Name,CHAR(30)
CUST_SEGMENT,Proc_Id,INTEGER,NO,Yes,GCFR,GCFR_Process_ID,Process_ID,INTEGER
CUST_SEGMENT,Updt_Proc_Nm,CHAR(30),NO,Yes,GCFR,GCFR_Load,Update_Process_Name,CHAR(30)
CUST_SEGMENT,Updt_Proc_Id,INTEGER,NO,Yes,GCFR,GCFR_Process_ID,Update_Process_Id,INTEGER
GEO_ADDRESS,Geo_Add_Id,CHAR(3),YES,No,ISO 3166,ISO 3166,Alpha-3 Code,CHAR(3)
GEO_ADDRESS,Geo_Add_Shortnm,VARCHAR(25),NO,Yes,ISO 3166,ISO 3166,Alpha-3 Code,CHAR(3)
GEO_ADDRESS,Cntry_Cd,CHAR(3),NO,Yes,ISO 3166,ISO 3166,Alpha-3 Code,CHAR(3)
GEO_ADDRESS,Curr_Cd,CHAR(18),NO,Yes,ISO 4217,ISO 4217,Alphabetic Code,CHAR(3)
GEO_ADDRESS,Geo_Add_Strt_Dt,DATE,NO,Yes,GCFR,GCFR_Load,End_Ts,TIMESTAMP
GEO_ADDRESS,Geo_Add_End_Dt,DATE,NO,Yes,GCFR,GCFR_Load,Start_Ts,TIMESTAMP
GEO_ADDRESS,Ctrl_Id,SMALLINT,NO,Yes,GCFR,GCFR_Load,Ctl_Id,SMALLINT
GEO_ADDRESS,Proc_Nm,CHAR(30),NO,Yes,GCFR,GCFR_Load,Process_Name,CHAR(30)
GEO_ADDRESS,Proc_Id,INTEGER,NO,Yes,GCFR,GCFR_Process_ID,Process_ID,INTEGER
GEO_ADDRESS,Updt_Proc_Nm,CHAR(30),NO,Yes,GCFR,GCFR_Load,Update_Process_Name,CHAR(30)
GEO_ADDRESS,Updt_Proc_Id,INTEGER,NO,Yes,GCFR,GCFR_Process_ID,Update_Process_Id,INTEGER
CUST_ADDRESS,Cust_Sk,INTEGER,YES,No,CD,CD,'CUSTNM BANKCD','STRING(20) CHAR(5)'
CUST_ADDRESS,Geo_Add_Id,CHAR(3),YES,No,CD,CD,ADDRESS,ADDRESS
CUST_ADDRESS,Add_End_Dt,DATE,YES,No,GCFR,GCFR_Load,End_Ts,TIMESTAMP
CUST_ADDRESS,Add_Strt_Dt,DATE,NO,Yes,GCFR,GCFR_Load,Start_Ts,TIMESTAMP
CUST_ADDRESS,Ctrl_Id,SMALLINT,NO,Yes,GCFR,GCFR_Load,Ctl_Id,SMALLINT
CUST_ADDRESS,Proc_Nm,CHAR(30),NO,Yes,GCFR,GCFR_Load,Process_Name,CHAR(30)
CUST_ADDRESS,Proc_Id,INTEGER,NO,Yes,GCFR,GCFR_Process_ID,Process_ID,INTEGER
CUST_ADDRESS,Updt_Proc_Nm,CHAR(30),NO,Yes,GCFR,GCFR_Load,Update_Process_Name,CHAR(30)
CUST_ADDRESS,Updt_Proc_Id,INTEGER,NO,Yes,GCFR,GCFR_Process_ID,Update_Process_Id,INTEGER
RATING_TYP,Rating_Typ_Cd,CHAR(3),YES,No,GCFR,One time load,Value,CHAR(3)
RATING_TYP,Rating_Typ_Desc,VARCHAR(25),NO,Yes,GCFR,One time load,Description,VARCHAR(25)
RATING_TYP,Ctrl_Id,SMALLINT,NO,Yes,GCFR,GCFR_Load,Ctl_Id,SMALLINT
RATING_TYP,Proc_Nm,CHAR(30),NO,Yes,GCFR,GCFR_Load,Process_Name,CHAR(30)
RATING_TYP,Proc_Id,INTEGER,NO,Yes,GCFR,GCFR_Process_ID,Process_ID,INTEGER
RATING_TYP,Updt_Proc_Nm,CHAR(30),NO,Yes,GCFR,GCFR_Load,Update_Process_Name,CHAR(30)
RATING_TYP,Updt_Proc_Id,INTEGER,NO,Yes,GCFR,GCFR_Process_ID,Update_Process_Id,INTEGER
RATING,Rating_Model_Id,CHAR(3),YES,No,RAT,RAT,RATINGMODEL,STRING(3)
RATING,Rating_Typ_Cd,CHAR(3),YES,No,RAT,RAT,RATINGTYPE,STRING(3)
RATING,Cust_Sk,INTEGER,YES,No,RAT,RAT,'CUSTNM BANKCD','STRING(20)CHAR(5)'
RATING,Rating_Dt,DATE,NO,Yes,RAT,RAT,DATRATING,DATE
RATING,Rating_End_Dt,DATE,YES,No,GCFR,GCFR_Load,End_Ts,TIMESTAMP
RATING,Rating_Strt_Dt,DATE,NO,Yes,GCFR,GCFR_Load,Start_Ts,TIMESTAMP
RATING,Rating_Val,VARCHAR(5),NO,Yes,RAT,RAT,RATVAL,CHAR(2)
RATING,Src_Cd,CHAR(3),NO,Yes,RAT,RAT,RECTYPE,STRING(5)
RATING,Ctrl_Id,SMALLINT,NO,Yes,GCFR,GCFR_Load,Ctl_Id,SMALLINT
RATING,Proc_Nm,CHAR(30),NO,Yes,GCFR,GCFR_Load,Process_Name,CHAR(30)
RATING,Proc_Id,INTEGER,NO,Yes,GCFR,GCFR_Process_ID,Process_ID,INTEGER
RATING,Updt_Proc_Nm,CHAR(30),NO,Yes,GCFR,GCFR_Load,Update_Process_Name,CHAR(30)
RATING,Updt_Proc_Id,INTEGER,NO,Yes,GCFR,GCFR_Process_ID,Update_Process_Id,INTEGER
